Year,Month,Day,Hour,Dry-bulb,Dew Point,RH
1977,1,1,1,12.2,11.1,93
1977,1,1,2,12.2,10,86
1977,1,1,3,11.7,9.4,86
1977,1,1,4,11.1,9.4,90
1977,1,1,5,11.1,8.9,86
1977,1,1,6,10.6,9.4,93
1977,1,1,7,10,9.4,96
1977,1,1,8,10.6,9.4,93
1977,1,1,9,12.8,10,83
1977,1,1,10,13.3,10.6,83
1977,1,1,11,13.9,10,78
1977,1,1,12,14.4,10.6,78
1977,1,1,13,15.6,10.6,72
1977,1,1,14,15.6,11.7,78
1977,1,1,15,16.7,12.2,75
1977,1,1,16,16.7,12.2,75
1977,1,1,17,15,11.7,81
1977,1,1,18,15,11.1,78
1977,1,1,19,14.4,11.7,84
1977,1,1,20,14.4,11.7,84
1977,1,1,21,13.9,11.1,83
1977,1,1,22,12.8,10.6,86
1977,1,1,23,12.8,10.6,86
1977,1,1,24,12.2,10,86
1977,1,2,1,12.2,10.6,90
1977,1,2,2,11.7,10.6,93
1977,1,2,3,11.1,10,93
1977,1,2,4,11.7,11.1,96
1977,1,2,5,11.7,10.6,93
1977,1,2,6,11.7,10.6,93
1977,1,2,7,11.1,11.1,100
1977,1,2,8,11.1,10.6,96
1977,1,2,9,11.7,11.1,96
1977,1,2,10,12.2,11.1,93
1977,1,2,11,12.8,11.7,93
1977,1,2,12,12.8,12.8,100
1977,1,2,13,12.8,12.8,100
1977,1,2,14,12.8,12.8,100
1977,1,2,15,12.8,12.8,100
1977,1,2,16,12.8,12.8,100
1977,1,2,17,12.8,12.8,100
1977,1,2,18,12.8,12.8,100
1977,1,2,19,12.8,12.8,100
1977,1,2,20,12.8,12.8,100
1977,1,2,21,12.8,12.8,100
1977,1,2,22,12.8,12.8,100
1977,1,2,23,12.8,12.8,100
1977,1,2,24,12.8,12.8,100
1977,1,3,1,13.9,13.9,100
1977,1,3,2,13.9,13.3,96
1977,1,3,3,13.3,11.7,90
1977,1,3,4,12.8,8.3,75
1977,1,3,5,11.7,5,64
1977,1,3,6,11.7,3.3,57
1977,1,3,7,11.7,1.7,51
1977,1,3,8,11.7,2.2,53
1977,1,3,9,12.8,2.2,49
1977,1,3,10,14.4,2.2,44
1977,1,3,11,14.4,4.4,51
1977,1,3,12,15,3.9,48
1977,1,3,13,15,5.6,54
1977,1,3,14,15,6.7,58
1977,1,3,15,15,7.2,60
1977,1,3,16,16.1,7.8,58
